filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p,npres_Maxent,ntrials_Maxent
abaca,"",abaca,Manila Fibre (Abaca),809,Monf,"",Fiber,128286.188789182,117520,111516.04733,20680,0.869275550100404,0.175970047651464,523,8
acof,acof,"",coffee,656,SPAM,arabica coffee,stimulant,5917829.7009457,65733,5917829.7009457,65733,1,1,12602,4
apple,"",apple,Apples,515,Monf,"",Fruit,5279000.27616995,483935,4297523.79808322,325446,0.814079100825731,0.672499405911951,30304,5
asparagus,"",asparagus,Asparagus,367,Monf,"",Vegetables&Melons,1002756.72868639,305817,938537.853235447,155153,0.935957671872149,0.507339356543292,6293,6
bana,bana,"",banana,486,SPAM,banana,fruits,5162790.59985687,184760,5162790.59985687,184760,1,1,19892,5
barl,barl,"",barley,44,SPAM,barley,cereals,49238338.5000851,334577,49238338.5000851,334577,1,1,80855,2
bean,bean,"","beans, dry",176,SPAM,bean,pulses,27350592.6031092,437728,27350592.6031092,437728,1,1,49400,3
broadbean,"",broadbean,"Broad beans, horse beans, dry",181,Monf,"",Pulses,2411193.65761191,382178,1808823.35672039,215379,0.750177552520557,0.563556771975362,24042,6
buckwheat,"",buckwheat,Buckwheat,89,Monf,"",Cereals,2593870.72160879,430489,2445863.2584421,205346,0.94293953745124,0.477006381115429,25540,5
cabbage,"",cabbage,Cabbages and other brassicas,358,Monf,"",Vegetables&Melons,2656639.47226893,663961,2116240.45034047,343854,0.796585487955985,0.517882827455227,18064,5
canaryseed,"",canaryseed,Canary seed,101,Monf,"",Cereals,247249.314722934,75435,238758.932052809,38680,0.965660642256422,0.512759329223835,1720,8
carrot,"",carrot,Carrots and turnips,426,Monf,"",Vegetables&Melons,910900.11604292,578118,734153.499640863,339416,0.805964876621304,0.587105054677419,11412,6
cashew,"",cashew,"Cashew nuts, with shell",217,Monf,"",Treenuts,2705022.31585666,304588,2036002.18158151,102483,0.752674818853287,0.336464338713278,12168,5
cass,cass,"",cassava,125,SPAM,cassava,roots&tubers or starchy roots,19027202.3940924,210551,19027202.3940924,210551,1,1,50075,3
cerealnes,"",cerealnes,"cerealnes, nes Cereals",108,Monf,"",Cereals,1987047.66579324,322430,1810094.35932052,207269,0.910946622207936,0.642834103526347,13422,6
chic,chic,"",chickpea,191,SPAM,chickpea,pulses,11515252.6963957,159285,11515252.6963957,159285,1,1,13029,4
chilleetc,"",chilleetc,"Chillies and peppers, green",401,Monf,"",Vegetables&Melons,1415979.14866021,500816,1255829.86505371,287264,0.886898557963911,0.573591898022427,15913,6
citrusnes,"",citrusnes,"Citrus fruit, nes",512,Monf,"",Fruit,822545.357821805,447297,706259.47387867,73949,0.858626782295539,0.165324158221495,7728,7
clove,"",clove,Cloves,698,Monf,"",OtherCrops,437402.94427753,189997,351727.635586246,33639,0.80412727026153,0.177050163949957,4623,7
cnut,cnut,"",coconut,249,SPAM,coconut,oilcrops,11605312.8992241,89730,11605312.8992241,89730,1,1,13387,4
coco,coco,"",cocoa,661,SPAM,cocoa,stimulant,9767624.40228736,64365,9767624.40228736,64365,1,1,12799,4
cott,cott,"",seed cotton,328,SPAM,cotton,fibres,31047735.6992616,171163,31047735.6992616,171163,1,1,30874,3
cowp,cowp,"",cowpea,195,SPAM,cowpea,pulses,8885458.99731545,80300,8885458.99731545,80300,1,1,15684,4
cucumberetc,"",cucumberetc,Cucumbers and gherkins,397,Monf,"",Vegetables&Melons,1922755.94337709,586854,1673507.05302341,363226,0.870368940368011,0.61893758924707,13890,6
currant,"",currant,Currants,550,Monf,"",Fruit,129370.121868652,258066,118945.917865598,99429,0.919423404318672,0.385285159610332,1297,8
eggplant,"",eggplant,Eggplants (aubergines),399,Monf,"",Vegetables&Melons,1419045.94228933,376568,1159530.03195348,220790,0.817119444408421,0.586321726753203,7144,6
fonio,"",fonio,Fonio,94,Monf,"",Cereals,223037.323263072,386319,222864.883872096,12093,0.999226858588271,0.0313031458457907,2039,8
garlic,"",garlic,Garlic,406,Monf,"",Vegetables&Melons,1019288.16949857,498487,869659.903569851,304118,0.853203176092657,0.610082108460201,9699,6
gooseberry,"",gooseberry,Gooseberries,549,Monf,"",Fruit,32347.9150690282,362109,30814.9882291658,75729,0.95261126299512,0.20913316156185,372,10
grape,"",grape,Grapes,560,Monf,"",Fruit,6927410.02965092,509929,6012629.24677464,336884,0.867947648693985,0.660648835426108,27559,4
grou,grou,"","groundnut, with shell",242,SPAM,groundnut,oilcrops,24373558.3985486,259864,24373558.3985486,259864,1,1,39746,3
hazelnut,"",hazelnut,"Hazelnuts, with shell",225,Monf,"",Treenuts,482920.414313434,290325,362930.765424557,76910,0.75153328512843,0.264910014638767,2805,7
hop,"",hop,Hops,677,Monf,"",OtherCrops,65672.150601212,304618,50030.1848795041,86899,0.761817367354204,0.285272045644053,503,9
jute,"",jute,Jute,780,Monf,"",Fiber,1410378.6188674,97941,1313356.20252415,55078,0.931208247880864,0.562358971217366,1725,6
jutelikefiber,"",jutelikefiber,Other Bastfibres,782,Monf,"",Fiber,312936.997680328,256410,282829.037634024,171097,0.903789068504259,0.667278967278967,3278,7
kapokfiber,"",kapokfiber,Kapok Fibre,778,Monf,"",Fiber,390085.153933005,145696,389597.077355785,27336,0.998748794789296,0.18762354491544,3943,7
kapokseed,"",kapokseed,Kapokseed in Shell,311,Monf,"",Fiber,390085.153933005,185756,389597.077355785,27336,0.998748794789296,0.147160791576046,3801,7
lent,lent,"",lentils,201,SPAM,lentil,pulses,3945968.3069085,142190,3945968.3069085,142190,1,1,7990,5
lettuce,"",lettuce,Lettuce and chicory,372,Monf,"",Vegetables&Melons,801318.332841125,406974,604992.809178661,188615,0.754996840061827,0.463457125025186,4953,7
lupin,"",lupin,Lupins,210,Monf,"",Pulses,1285640.95486547,332052,1213531.30686151,83727,0.943911519206773,0.252150265621047,3899,6
maiz,maiz,"",maize,56,SPAM,maize,cereals,151344326.985361,561780,151344326.985406,561780,1.0000000000003,1,106502,1
mango,"",mango,"Mangoes, mangosteens, guavas",571,Monf,"",Fruit,3274016.63247184,433172,2523766.58724384,267580,0.770847210186111,0.617722290452753,16619,5
mate,"",mate,mate,671,Monf,"",OtherCrops,249020.604191079,381446,219304.759098123,5835,0.880669131016346,0.0152970538424836,984,8
mixedgrain,"",mixedgrain,Mixed grain,103,Monf,"",Cereals,1812292.65080493,114762,1563814.20956404,36205,0.862892761204695,0.315478991303742,4730,6
oats,"",oats,Oats,75,Monf,"",Cereals,12953977.9817947,515672,10794323.6172696,374015,0.833282535483675,0.725296312384617,92799,4
oilp,oilp,"",palmoil,254,SPAM,oilpalm,oilcrops,15594313.302211,42299,15594313.302211,42299,1,1,14288,3
oilseednes,"",oilseednes,"Oilseeds, Nes",339,Monf,"",Oilcrops,1251177.75896995,227098,1106506.68887439,142899,0.884372089370683,0.629239359219368,8772,6
olive,"",olive,Olives,260,Monf,"",Oilcrops,6790305.33328151,272993,6186262.09619157,39303,0.911043287828409,0.143970724524072,11245,4
pea,"",pea,"Peas, dry",187,Monf,"",Pulses,6021544.03453345,522502,4832019.37606689,346925,0.802455208889173,0.66396875035885,37296,5
pear,"",pear,Pears,521,Monf,"",Fruit,1569621.12680031,497608,1365100.52437298,264539,0.869700656460802,0.53162127618527,9258,6
pepper,"",pepper,Pepper (Piper spp.),687,Monf,"",OtherCrops,403170.356225371,233938,344608.132287107,68520,0.854745709762631,0.29289811830485,3545,7
peppermint,"",peppermint,Peppermint,748,Monf,"",OtherCrops,2666.61249782198,44001,2640.12380234152,1956,0.990066537413254,0.0444535351469285,9,12
persimmon,"",persimmon,Persimmons,587,Monf,"",Fruit,505401.315939846,193077,500986.691613043,79289,0.991265111135308,0.41065999575299,2306,7
pige,pige,"",pigeon pea,197,SPAM,pigeonpea,pulses,4864259.8013087,42635,4864259.8013087,42635,1,1,5708,5
pineapple,"",pineapple,Pineapples,574,Monf,"",Fruit,715310.518507943,366073,587338.727259447,249863,0.821096170212301,0.682549655396601,13703,7
pistachio,"",pistachio,Pistachios,223,Monf,"",Treenuts,391072.848384958,164890,352144.151625021,21122,0.900456661921933,0.128097519558494,1813,7
plnt,plnt,"",plantain,489,SPAM,plantain,fruits,4007943.99976915,57613,4007943.99976915,57613,1,1,15601,5
plum,"",plum,Plums and sloes,536,Monf,"",Fruit,2052206.96192898,517369,1867864.91060168,260159,0.910173752088814,0.502849996810787,8384,6
pmil,pmil,"",millet,79,SPAM,pearl millet,cereals,26318402.9070833,142367,26318402.9070833,142367,1,1,30214,3
poppy,"",poppy,Poppy seed,296,Monf,"",Oilcrops,112368.433368577,303395,100722.209740537,28165,0.896356803428603,0.0928327757543796,714,8
pota,pota,"",potato,116,SPAM,potato,roots&tubers or starchy roots,18608067.599335,417999,18608067.599335,417999,1,1,52022,3
quince,"",quince,Quinces,523,Monf,"",Fruit,47883.6311971885,362754,36336.2125633461,107815,0.758844132219439,0.297212435975896,664,9
rapeseed,"",rapeseed,Rapeseed,270,Monf,"",Oilcrops,23935890.2873766,476497,23445017.6738477,348001,0.979492193202949,0.730331985301062,53569,3
rasberry,"",rasberry,Raspberries,547,Monf,"",Fruit,79297.8777980347,410688,64211.4448358836,108854,0.809749852315404,0.265052789465482,899,9
rcof,rcof,"",coffee,656,SPAM,robusta coffee,stimulant,4267726.70005824,75331,4267726.70005824,75331,1,1,10418,5
rice,rice,"",rice,27,SPAM,rice,cereals,113831515.08268,308565,113831515.082708,308565,1.00000000000024,1,54531,1
rubber,"",rubber,Natural rubber,836,Monf,"",OtherCrops,7463483.99838979,391848,6772044.13121797,93031,0.907356957243963,0.237416038872216,24955,4
rye,"",rye,Rye,71,Monf,"",Cereals,9269557.88393668,404660,9109470.63434238,294824,0.982729785864791,0.728572134631543,39022,4
sesa,sesa,"",sesame seed,289,SPAM,sesameseed,oilcrops,8005424.19681236,164314,8005424.19681236,164314,1,1,18551,4
smil,smil,"",millet,79,SPAM,small millet,cereals,4147469.9034804,141500,4147469.9034804,141500,1,1,11944,5
sorg,sorg,"",sorghum,83,SPAM,sorghum,cereals,39260950.6068412,341751,39260950.6068412,341751,1,1,56329,3
sourcherry,"",sourcherry,Sour cherries,530,Monf,"",Fruit,234547.985887352,427291,210440.987361564,114092,0.897219332604434,0.267012410745838,2025,8
soyb,soyb,"",soybean,236,SPAM,soybean,oilcrops,97906830.5879225,345296,97906830.5879321,345296,1.0000000000001,1,72089,2
spinach,"",spinach,Spinach,373,Monf,"",Vegetables&Melons,638798.789507487,284232,603787.98343653,158370,0.94519274825497,0.55718567930423,4862,7
sugarnes,"",sugarnes,"Sugar crops, nes",161,Monf,"",SugarCrops,110879.887908647,209219,88486.0689655589,23032,0.798035339271464,0.110085604079935,1365,9
sugb,sugb,"",sugarbeet,157,SPAM,sugarbeet,sugar crops,4682821.10137408,122589,4682821.10137408,122589,1,1,13440,5
sugc,sugc,"",sugar cane,156,SPAM,sugarcane,sugar crops,24219660.9901256,153132,24219660.9901256,153132,1,1,24697,3
sunf,sunf,"",sunflower seed,267,SPAM,sunflower,oilcrops,24195081.0037259,277717,24195081.0037259,277717,1,1,38130,3
swpo,swpo,"",sweet potato,122,SPAM,sweet potato,roots&tubers or starchy roots,7765573.29998046,234003,7765573.29998046,234003,1,1,24407,4
taro,"",taro,Taro (cocoyam),136,Monf,"",Roots&Tubers,1380195.11290342,192901,1262407.34118683,62969,0.91465860832617,0.326431692940939,9546,6
teas,teas,"",tea,667,SPAM,tea,stimulant,3197546.09930269,45814,3197546.09930269,45814,1,1,6579,5
toba,toba,"",tobacco leaves,826,SPAM,tobacco,stimulant,4028251.09936071,169786,4028251.09936071,169786,1,1,11830,5
triticale,"",triticale,Triticale,97,Monf,"",Cereals,2566629.57519597,216068,2076702.61949706,119221,0.809116609411196,0.551775367014088,10412,5
tropicalnes,"",tropicalnes,"tropicalnes, tropical fresh nes Fruit",603,Monf,"",Fruit,1817365.79940565,362667,1466885.40271981,230690,0.807149228404943,0.636093165355547,11379,6
vegetablenes,"",vegetablenes,Vegetables fresh nes,463,Monf,"",Vegetables&Melons,14265386.5253156,890638,10921120.8864309,471890,0.765567821597413,0.529833669796259,67938,4
watermelon,"",watermelon,Watermelons,567,Monf,"",Vegetables&Melons,2882702.34852621,587822,2607263.16717463,380713,0.90445105042066,0.647667150940251,27137,5
whea,whea,"",wheat,15,SPAM,wheat,cereals,199497738.832057,462033,199497738.832124,462033,1.00000000000034,1,144762,1
yams,yams,"",yam,137,SPAM,yams,roots&tubers or starchy roots,5020052.19942233,102280,5020052.19942233,102280,1,1,12127,5
